"region","province","commune","village","vid","id_loc","dam_name","dam_dist","dam_surface","regime"
"6","22","2","4","R6P22C2V4","657",NULL,"9.44793016121303","79317.8253104558","TEMPORAIRE"
"6","5","2","2","R6P5C2V2","4017",NULL,"0.266741867196616","209672.894736862","TEMPORAIRE"
"1","13","3","5","R1P13C3V5","5269",NULL,"19.66008307091","11752.1462318788","TEMPORAIRE"
"1","32","4","15","R1P32C4V15","5454",NULL,"18.5908450614759","95602.9015026654","TEMPORAIRE"
"1","32","2","7","R1P32C2V7","7709",NULL,"49.2391317513488","71737.7565007725","TEMPORAIRE"
"9","10","1","16","R9P10C1V16","8826",NULL,"29.9929448223923","52236.2070085803","TEMPORAIRE"
"1","13","9","7","R1P13C9V7","11678",NULL,"4.47840643479361","11752.1462318788","TEMPORAIRE"
"1","13","5","8","R1P13C5V8","11787",NULL,"23.8875171240421","95602.9015026654","TEMPORAIRE"
"1","32","1","2","R1P32C1V2","11858",NULL,"18.468608412216","95602.9015026654","TEMPORAIRE"
"1","13","4","14","R1P13C4V14","12019","Toma","58.759088538412","29921.9017202756","TEMPORAIRE"
"1","27","7","28","R1P27C7V28","12373",NULL,"25.6181779337309","25978.8868517359","TEMPORAIRE"
"1","40","1","5","R1P40C1V5","12456",NULL,"13.5203898479485","129262.041897983","TEMPORAIRE"
"1","27","1","5","R1P27C1V5","12519","Sourou","1.33468170444179","35377143.0800602","PERMANENT"
"13","41","1","13","R13P41C1V13","12641",NULL,"8.67541263166039","66523.789622503","TEMPORAIRE"
"13","21","7","37","R13P21C7V37","13312",NULL,"0.728179890692535","423041.74073354","PERMANENT"
"13","21","6","36","R13P21C6V36","13439","Barrage de Poniro","5.40396876559435","2110315.38765694","PERMANENT"
"13","33","2","6","R13P33C2V6","14152",NULL,"2.43542620596076","158928.72191869","TEMPORAIRE"
"7","30","1","20","R7P30C1V20","21513",NULL,"2.75034733327421","199110.981654178","TEMPORAIRE"
"6","44","6","36","R6P44C6V36","22185",NULL,"1.74029628373088","608918.395984838","PERMANENT"
"7","16","1","6","R7P16C1V6","22601",NULL,"10.9894090536076","73665.8193702582","TEMPORAIRE"
"7","30","4","11","R7P30C4V11","25056",NULL,"2.56063374906902","313729.260851817","TEMPORAIRE"
"4","4","11","40","R4P4C11V40","27756","Barrage de Zourma","4.22141336060573","413396.940772359","TEMPORAIRE"
"4","36","7","3","R4P36C7V3","30897",NULL,"9.70739387816895","120473.231964582","TEMPORAIRE"
"8","28","1","18","R8P28C1V18","35648",NULL,"38.9751773472353","208632.445596922","TEMPORAIRE"
"8","9","4","30","R8P9C4V30","37730",NULL,"25.1615853106733","98942.2631171097","TEMPORAIRE"
"5","17","1","1","R5P17C1V1","41319",NULL,"1.30239275842489","380728.79889845","TEMPORAIRE"
"11","7","4","25","R11P7C4V25","41954","Barrage de Môgtédo","2.45390209933867","3637171.83437495","TEMPORAIRE"
"8","8","6","30","R8P8C6V30","43386",NULL,"3.74498373326885","1515720.94535475","TEMPORAIRE"
"12","24","2","58","R12P24C2V58","47288","Barrage de Yakouta","6.33529818499001","10526084.5097995","TEMPORAIRE"
"12","19","3","19","R12P19C3V19","49311",NULL,"2.31921935734563","121026.038179368","TEMPORAIRE"
"12","26","6","12","R12P26C6V12","50958",NULL,"19.7344155779259","30804125.8810793","TEMPORAIRE"
"5","1","1","12","R5P1C1V12","51891",NULL,"2.8053615357867","17499.8127399666","TEMPORAIRE"
"12","19","2","58","R12P19C2V58","55890",NULL,"9.82200904796247","413384.713554423","TEMPORAIRE"
"12","19","2","6","R12P19C2V6","56092",NULL,"13.3402276602927","44772.9431759359","TEMPORAIRE"
"5","23","10","32","R5P23C10V32","57839",NULL,"21.0075774914473","594672.730169913","TEMPORAIRE"
"3","11","95","4","R3P11C95V4","61250",NULL,"0.480498281299889","566404.955000271","TEMPORAIRE"
"6","5","4","4","R6P5C4V4","63608",NULL,"0.872828508003936","113229.679643536","TEMPORAIRE"
"3","11","93","3","R3P11C93V3","63799",NULL,"0.777894940214414","91277.1277652186","TEMPORAIRE"
"3","11","95","1","R3P11C95V1","65076",NULL,"2.87568881666956","8341.44858319869","TEMPORAIRE"
"7","2","6","2","R7P2C6V2","65343",NULL,"4.57414154636591","40967.6991103696","TEMPORAIRE"
"11","18","3","26","R11P18C3V26","66656",NULL,"2.73048139063502","72202.522035909","TEMPORAIRE"
"5","23","2","10","R5P23C2V10","67723",NULL,"3.19699192551941","18469.6453944994","TEMPORAIRE"
"5","23","5","10","R5P23C5V10","67724",NULL,"2.1239226992405","3078885.48598681","TEMPORAIRE"
"3","11","93","2","R3P11C93V2","68108","Barrage du Boulmiougou","0.518841409384533","370090.651518161","TEMPORAIRE"
"3","11","94","4","R3P11C94V4","68557",NULL,"0.523225087065056","38061.9695937642","TEMPORAIRE"
"3","11","92","1","R3P11C92V1","68582",NULL,"1.34414714844648","12182.9407535862","TEMPORAIRE"
"5","17","7","11","R5P17C7V11","73058","Barrage de Yalgo","0.753400485029042","10070996.2046571","PERMANENT"
"12","24","1","43","R12P24C1V43","73074","Barrage de Yalgo","14.7456389018626","10070996.2046571","PERMANENT"
"8","8","3","29","R8P8C3V29","73591",NULL,"0.684524421282798","1388701.90827881","TEMPORAIRE"
"8","8","5","33","R8P8C5V33","73747",NULL,"0.26029497961101","2349554.43073914","PERMANENT"
"4","4","13","11","R4P4C13V11","76943","Barrage de Zourma","10.8093355159534","413396.940772359","TEMPORAIRE"
